sample_id,task,cache_type,f1,input_length,peak_memory_gb,generation_time_s,oom,generated_chars
OVERALL_SUMMARY,ALL,baseline,0.0145,4096.0,14.963,1.492,False,
OVERALL_SUMMARY,ALL,hetero_kv,0.0147,4096.0,14.963,1.469,False,
2wikimqa_e_0,2wikimqa_e,baseline,0.0,4096.0,14.963,4.871,False,389.0
2wikimqa_e_1,2wikimqa_e,baseline,0.0,4096.0,14.963,1.467,False,393.0
2wikimqa_e_2,2wikimqa_e,baseline,0.0,4096.0,14.963,1.464,False,410.0
2wikimqa_e_3,2wikimqa_e,baseline,0.0,4096.0,14.963,1.463,False,385.0
2wikimqa_e_4,2wikimqa_e,baseline,0.0,4096.0,14.963,1.463,False,362.0
2wikimqa_e_5,2wikimqa_e,baseline,0.0,4096.0,14.963,1.464,False,407.0
2wikimqa_e_6,2wikimqa_e,baseline,0.0,4096.0,14.963,1.459,False,369.0
2wikimqa_e_7,2wikimqa_e,baseline,0.0,4096.0,14.963,1.458,False,389.0
2wikimqa_e_8,2wikimqa_e,baseline,0.0,4096.0,14.963,1.458,False,382.0
2wikimqa_e_9,2wikimqa_e,baseline,0.0,4096.0,14.963,1.459,False,387.0
2wikimqa_e_10,2wikimqa_e,baseline,0.0,4096.0,14.963,1.459,False,370.0
2wikimqa_e_11,2wikimqa_e,baseline,0.0,4096.0,14.963,1.459,False,379.0
2wikimqa_e_12,2wikimqa_e,baseline,0.0,4096.0,14.963,1.46,False,363.0
2wikimqa_e_13,2wikimqa_e,baseline,0.0,4096.0,14.963,1.464,False,376.0
2wikimqa_e_14,2wikimqa_e,baseline,0.0,4096.0,14.963,1.459,False,417.0
2wikimqa_e_0,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.464,False,361.0
2wikimqa_e_1,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.469,False,383.0
2wikimqa_e_2,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.465,False,386.0
2wikimqa_e_3,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.469,False,362.0
2wikimqa_e_4,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.468,False,396.0
2wikimqa_e_5,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.466,False,365.0
2wikimqa_e_6,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.468,False,358.0
2wikimqa_e_7,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.467,False,368.0
2wikimqa_e_8,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.466,False,380.0
2wikimqa_e_9,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.467,False,358.0
2wikimqa_e_10,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.465,False,381.0
2wikimqa_e_11,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.466,False,362.0
2wikimqa_e_12,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.47,False,398.0
2wikimqa_e_13,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.469,False,390.0
2wikimqa_e_14,2wikimqa_e,hetero_kv,0.0,4096.0,14.963,1.466,False,362.0
narrativeqa_0,narrativeqa,baseline,0.0357,4096.0,14.963,1.462,False,329.0
