method,target_seq_len,actual_seq_len,decode_tokens,elapsed_s,tokens_per_sec,peak_memory_gb,vram_budget_gb,oom,within_budget,repeat
hf_offload,2048,2048,64,1.898,33.72,14.581,24.0,False,True,0
hf_offload,2048,2048,64,1.324,48.33,14.581,24.0,False,True,1
kivi,2048,2048,64,3.263,19.62,14.527,24.0,False,True,0
kivi,2048,2048,64,3.046,21.01,14.527,24.0,False,True,1
hetero_kv,2048,2048,64,1.331,48.08,14.581,24.0,False,True,0
hetero_kv,2048,2048,64,1.334,47.97,14.581,24.0,False,True,1
hf_offload,4096,4096,64,1.487,43.05,14.963,24.0,False,True,0
hf_offload,4096,4096,64,1.491,42.92,14.963,24.0,False,True,1
kivi,4096,4096,64,3.835,16.69,14.853,24.0,False,True,0
kivi,4096,4096,64,3.79,16.89,14.853,24.0,False,True,1
hetero_kv,4096,4096,64,1.492,42.9,14.963,24.0,False,True,0
hetero_kv,4096,4096,64,1.497,42.76,14.963,24.0,False,True,1
hf_offload,8192,8192,64,1.834,34.9,15.727,24.0,False,True,0
hf_offload,8192,8192,64,1.836,34.85,15.727,24.0,False,True,1
kivi,8192,8192,64,5.328,12.01,15.508,24.0,False,True,0
kivi,8192,8192,64,5.27,12.14,15.508,24.0,False,True,1
hetero_kv,8192,8192,64,1.86,34.41,15.511,24.0,False,True,0
hetero_kv,8192,8192,64,1.864,34.33,15.511,24.0,False,True,1
hf_offload,16384,16384,64,2.637,24.27,17.254,24.0,False,True,0
hf_offload,16384,16384,64,2.639,24.25,17.254,24.0,False,True,1
kivi,16384,16384,64,8.841,7.24,16.816,24.0,False,True,0
kivi,16384,16384,64,8.704,7.35,16.816,24.0,False,True,1
hetero_kv,16384,16384,64,2.661,24.05,16.601,24.0,False,True,0
hetero_kv,16384,16384,64,2.662,24.05,16.601,24.0,False,True,1
hf_offload,32768,32768,64,4.714,13.58,20.309,24.0,False,True,0
hf_offload,32768,32768,64,4.714,13.58,20.309,24.0,False,True,1
kivi,32768,32768,64,16.015,4.0,19.434,24.0,False,True,0
kivi,32768,32768,64,15.956,4.01,19.434,24.0,False,True,1
hetero_kv,32768,32768,64,4.706,13.6,18.781,24.0,False,True,0
hetero_kv,32768,32768,64,4.707,13.6,18.781,24.0,False,True,1
hf_offload,65536,65536,64,10.932,5.85,26.42,24.0,False,False,0
hf_offload,65536,65536,64,10.975,5.83,26.42,24.0,False,False,1
kivi,65536,65536,64,57.787,1.11,24.67,24.0,False,False,0
kivi,65536,65536,64,57.696,1.11,24.67,24.0,False,False,1
hetero_kv,65536,65536,64,10.671,6.0,23.142,24.0,False,True,0
hetero_kv,65536,65536,64,10.71,5.98,23.142,24.0,False,True,1
hf_offload,131072,131072,64,31.774,2.01,38.641,24.0,False,False,0
hf_offload,131072,131072,64,31.924,2.0,38.641,24.0,False,False,1
kivi,131072,131072,64,124.484,0.51,35.141,24.0,False,False,0
kivi,131072,131072,64,124.102,0.52,35.141,24.0,False,False,1
hetero_kv,131072,131072,64,30.963,2.07,31.863,24.0,False,False,0
hetero_kv,131072,131072,64,31.194,2.05,31.863,24.0,False,False,1
