method,video_duration_s,n_frames,input_tokens,answer_length,generation_time_s,peak_memory_gb,oom,repeat
baseline_fp16,60,16,1182,561,3.038,15.888,False,0
baseline_fp16,60,16,1182,561,2.552,15.888,False,1
baseline_fp16,60,32,2334,588,2.808,16.302,False,0
baseline_fp16,60,32,2334,588,2.808,16.302,False,1
baseline_fp16,60,48,3486,603,3.04,16.717,False,0
baseline_fp16,60,48,3486,603,2.965,16.717,False,1
baseline_fp16,120,16,1182,561,2.552,15.888,False,0
baseline_fp16,120,16,1182,561,2.55,15.888,False,1
baseline_fp16,120,32,2334,588,2.811,16.302,False,0
baseline_fp16,120,32,2334,588,2.807,16.302,False,1
baseline_fp16,120,48,3486,603,2.955,16.717,False,0
baseline_fp16,120,48,3486,603,2.959,16.717,False,1
baseline_fp16,240,16,1182,561,2.55,15.888,False,0
baseline_fp16,240,16,1182,561,2.544,15.888,False,1
baseline_fp16,240,32,2334,588,2.805,16.302,False,0
baseline_fp16,240,32,2334,588,2.808,16.302,False,1
baseline_fp16,240,48,3486,603,3.036,16.717,False,0
baseline_fp16,240,48,3486,603,3.033,16.717,False,1
hetero_kv,60,16,1182,561,2.626,15.888,False,0
hetero_kv,60,16,1182,561,2.627,15.888,False,1
hetero_kv,60,32,2334,588,2.878,16.302,False,0
hetero_kv,60,32,2334,588,2.891,16.302,False,1
hetero_kv,60,48,3486,603,3.045,16.717,False,0
hetero_kv,60,48,3486,603,2.966,16.717,False,1
hetero_kv,120,16,1182,561,2.559,15.888,False,0
hetero_kv,120,16,1182,561,2.631,15.888,False,1
hetero_kv,120,32,2334,588,2.89,16.302,False,0
hetero_kv,120,32,2334,588,2.896,16.302,False,1
hetero_kv,120,48,3486,603,3.044,16.717,False,0
hetero_kv,120,48,3486,603,3.041,16.717,False,1
hetero_kv,240,16,1182,561,2.557,15.888,False,0
hetero_kv,240,16,1182,561,2.623,15.888,False,1
hetero_kv,240,32,2334,588,2.892,16.302,False,0
hetero_kv,240,32,2334,588,2.89,16.302,False,1
hetero_kv,240,48,3486,603,2.969,16.717,False,0
hetero_kv,240,48,3486,603,2.974,16.717,False,1
